system:index,area,landcover,grid,.geo,lon,lat
1_2_23_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93846077778964,30.15406355238942]}",106.9384608,30.15406355
1_2_24_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.05596041695247,30.184246945935836]}",107.0559604,30.18424695
1_2_25_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.10716438814728,30.215508317823193]}",107.1071644,30.21550832
1_2_26_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0193091533604,30.193948751004328]}",107.0193092,30.19394875
1_2_27_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.15890734851257,30.360496404680084]}",107.1589073,30.3604964
1_2_28_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96864417133605,30.164843335798853]}",106.9686442,30.16484334
1_2_29_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.03547882847455,30.194487740174797]}",107.0354788,30.19448774
1_2_30_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.04518063354304,30.22035922035744]}",107.0451806,30.22035922
1_2_31_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06188929782766,30.206884491095646]}",107.0618893,30.20688449
1_2_32_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11363225819295,30.33085200030414]}",107.1136323,30.330852
1_2_33_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12926294413663,30.248386657221968]}",107.1292629,30.24838666
1_2_34_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1276459766252,30.277492072427442]}",107.127646,30.27749207
1_2_35_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94007774530105,30.12873106137725]}",106.9400777,30.12873106
1_2_36_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01984814253086,30.190175826811025]}",107.0198481,30.19017583
1_2_37_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08452684298747,30.231139003766874]}",107.0845268,30.231139
1_2_38_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14812756510314,30.250542613903857]}",107.1481276,30.25054261
1_2_39_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12656799828426,30.224671133721213]}",107.126568,30.22467113
1_2_40_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13141890081852,30.241379798005838]}",107.1314189,30.2413798
1_2_41_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94331168032389,30.124419148013477]}",106.9433117,30.12441915
1_2_42_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1012355072721,30.20472853441376]}",107.1012355,30.20472853
1_2_43_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12171709575001,30.22359315538027]}",107.1217171,30.22359316
1_2_44_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98104092225691,30.117412288797343]}",106.9810409,30.11741229
1_2_45_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12818496579568,30.239223841323952]}",107.128185,30.23922384
1_2_46_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.10069651810163,30.221976187868854]}",107.1006965,30.22197619
1_2_47_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1470495867622,30.27102420238178]}",107.1470496,30.2710242
1_2_48_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94007774530105,30.140049833957153]}",106.9400777,30.14004983
1_2_49_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13519182501182,30.259166440631404]}",107.1351918,30.25916644
1_2_50_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.00745139161002,30.214430339482252]}",107.0074514,30.21443034
1_2_51_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.07105211372568,30.18801987012914]}",107.0710521,30.18801987
1_2_52_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.97241709552935,30.137354888104795]}",106.9724171,30.13735489
1_2_53_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.15890734851257,30.31791626021282]}",107.1589073,30.31791626
1_2_54_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98858677064351,30.115795321285926]}",106.9885868,30.11579532
1_2_55_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95678640958567,30.110944418751682]}",106.9567864,30.11094442
1_2_56_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.05811637363436,30.203111566902344]}",107.0581164,30.20311157
1_2_57_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14543261925077,30.310370411826216]}",107.1454326,30.31037041
1_2_58_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.00960734829191,30.19179279432244]}",107.0096073,30.19179279
1_2_59_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08614381049888,30.265634310677065]}",107.0861438,30.26563431
1_2_60_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98804778147303,30.131426007229607]}",106.9880478,30.13142601
1_2_61_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.05973334114577,30.243535754687723]}",107.0597333,30.24353575
1_2_62_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01877016418992,30.19179279432244]}",107.0187702,30.19179279
1_2_63_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.15297846763738,30.31144839016716]}",107.1529785,30.31144839
1_2_64_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94600662617624,30.148673660684704]}",106.9460066,30.14867366
1_2_65_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12980193330709,30.241379798005838]}",107.1298019,30.2413798
1_2_66_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.04248568769067,30.259705429801876]}",107.0424857,30.25970543
1_2_67_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95085752871049,30.117412288797343]}",106.9508575,30.11741229
1_2_68_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08183189713512,30.231139003766874]}",107.0818319,30.231139
1_2_69_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1659142077287,30.261861386483762]}",107.1659142,30.26186139
1_2_70_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.04733659022493,30.21389135031178]}",107.0473366,30.21389135
1_2_71_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93792178861916,30.145439725661873]}",106.9379218,30.14543973
1_2_72_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0171531966785,30.203650556072816]}",107.0171532,30.20365056
1_2_73_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.969722149677,30.176162108378758]}",106.9697221,30.17616211
1_2_74_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08560482132842,30.25431553809716]}",107.0856048,30.25431554
1_2_75_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.04895355773634,30.26132239731329]}",107.0489536,30.2613224
1_2_76_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0915337022036,30.231139003766874]}",107.0915337,30.231139
1_2_77_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13842576003465,30.25215958141527]}",107.1384258,30.25215958
1_2_78_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14651059759171,30.250542613903857]}",107.1465106,30.25054261
1_2_79_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.10716438814728,30.21712528533461]}",107.1071644,30.21712529
1_2_80_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01877016418992,30.21389135031178]}",107.0187702,30.21389135
1_2_81_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9524744962219,30.12603611552489]}",106.9524745,30.12603612
1_2_82_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95409146373332,30.14436174732093]}",106.9540915,30.14436175
1_2_83_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.09854056141974,30.184246945935836]}",107.0985406,30.18424695
1_2_84_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.09045572386266,30.193948751004328]}",107.0904557,30.19394875
1_2_85_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13842576003465,30.307136476803386]}",107.1384258,30.30713648
1_2_86_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.10662539897682,30.239223841323952]}",107.1066254,30.23922384
1_2_87_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13195788998898,30.292044780030178]}",107.1319579,30.29204478
1_2_88_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1238730524319,30.307136476803386]}",107.1238731,30.30713648
1_2_89_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96864417133605,30.174545140867345]}",106.9686442,30.17454514
1_2_90_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93630482110775,30.149212649855173]}",106.9363048,30.14921265
1_2_91_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96648821465416,30.17562311920829]}",106.9664882,30.17562312
1_2_92_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12656799828426,30.29366174754159]}",107.126568,30.29366175
1_2_93_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11740518238625,30.22952203625546]}",107.1174052,30.22952204
1_2_94_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0651232328505,30.210118426118477]}",107.0651232,30.21011843
1_2_95_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.09476763722644,30.22035922035744]}",107.0947676,30.22035922
1_2_96_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12279507409096,30.272102180722726]}",107.1227951,30.27210218
1_2_97_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.00421745658718,30.184246945935836]}",107.0042175,30.18424695
1_2_98_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1222560849205,30.29959062841678]}",107.1222561,30.29959063
1_2_99_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.10608640980634,30.214430339482252]}",107.1060864,30.21443034
1_2_100_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.00152251073483,30.187480880958667]}",107.0015225,30.18748088
1_2_101_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14812756510314,30.26132239731329]}",107.1481276,30.2613224
1_2_102_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.02793298008794,30.199338642709044]}",107.027933,30.19933864
1_2_103_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12441204160238,30.28611589915499]}",107.124412,30.2861159
1_2_104_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08290987547606,30.199877631879517]}",107.0829099,30.19987763
1_2_105_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.112554279852,30.328157054451783]}",107.1125543,30.32815705
1_2_106_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93953875613059,30.128192072206776]}",106.9395388,30.12819207
1_2_107_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11417124736342,30.252698570585743]}",107.1141712,30.25269857
1_2_108_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.97403406304078,30.17939604340159]}",106.9740341,30.17939604
1_2_109_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0953066263969,30.21712528533461]}",107.0953066,30.21712529
1_2_110_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0193091533604,30.205806512754705]}",107.0193092,30.20580651
1_2_111_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0705131245552,30.192870772663383]}",107.0705131,30.19287077
1_2_112_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11363225819295,30.250003624733385]}",107.1136323,30.25000362
1_2_113_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06027233031624,30.213352361141308]}",107.0602723,30.21335236
1_2_114_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12656799828426,30.290966801689233]}",107.126568,30.2909668
1_2_115_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.02146511004229,30.190175826811025]}",107.0214651,30.19017583
1_2_116_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95355247456284,30.099086657001305]}",106.9535525,30.09908666
1_2_117_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13034092247757,30.23598990630112]}",107.1303409,30.23598991
1_2_118_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.10824236648823,30.21712528533461]}",107.1082424,30.21712529
1_2_119_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0915337022036,30.22736607957357]}",107.0915337,30.22736608
1_2_120_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13357485750039,30.240840808835365]}",107.1335749,30.24084081
1_2_121_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1276459766252,30.30282456343961]}",107.127646,30.30282456
1_2_122_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96109832294945,30.16053142243508]}",106.9610983,30.16053142
1_2_123_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12656799828426,30.305519509291972]}",107.126568,30.30551951
1_2_124_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13141890081852,30.24569171136961]}",107.1314189,30.24569171
1_2_125_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.15944633768304,30.361035393850557]}",107.1594463,30.36103539
1_2_126_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95355247456284,30.149212649855173]}",106.9535525,30.14921265
1_2_127_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98265788976832,30.113100375433568]}",106.9826579,30.11310038
1_2_128_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95894236626756,30.152446584878003]}",106.9589424,30.15244658
1_2_129_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14758857593266,30.2478476680515]}",107.1475886,30.24784767
1_2_130_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93468785359633,30.149212649855173]}",106.9346879,30.14921265
1_2_131_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1470495867622,30.332468967815558]}",107.1470496,30.33246897
1_2_132_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1201001282386,30.28665488832546]}",107.1201001,30.28665489
1_2_133_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0877607780103,30.186941891788194]}",107.0877608,30.18694189
1_2_134_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.16160229436493,30.361035393850557]}",107.1616023,30.36103539
1_2_135_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06081131948672,30.20418954524329]}",107.0608113,30.20418955
1_2_136_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06027233031624,30.191253805151966]}",107.0602723,30.19125381
1_2_137_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93899976696011,30.154602541559893]}",106.9389998,30.15460254
1_2_138_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13842576003465,30.22952203625546]}",107.1384258,30.22952204
1_2_139_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08452684298747,30.26779026735895]}",107.0845268,30.26779027
1_2_140_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11471023653388,30.285037920814045]}",107.1147102,30.28503792
1_2_141_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9772679980636,30.182090989253947]}",106.977268,30.18209099
1_2_142_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13357485750039,30.241379798005838]}",107.1335749,30.2413798
1_2_143_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98373586810926,30.10016463534225]}",106.9837359,30.10016464
1_2_144_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.112554279852,30.218742252846024]}",107.1125543,30.21874225
1_2_145_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.92983695106209,30.137354888104795]}",106.929837,30.13735489
1_2_146_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.09099471303313,30.265095321506593]}",107.0909947,30.26509532
1_2_147_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11471023653388,30.224132144550744]}",107.1147102,30.22413214
1_2_148_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11902214989766,30.2306000145964]}",107.1190221,30.23060001
1_2_149_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.07105211372568,30.209579436948005]}",107.0710521,30.20957944
1_2_150_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12926294413663,30.297973660905367]}",107.1292629,30.29797366
1_2_151_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.97457305221124,30.16753828165121]}",106.9745731,30.16753828
1_2_152_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12926294413663,30.215508317823193]}",107.1292629,30.21550832
1_2_153_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11686619321577,30.26725127818848]}",107.1168662,30.26725128
1_2_154_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.16699218606965,30.36157438302103]}",107.1669922,30.36157438
1_2_155_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.02038713170134,30.193948751004328]}",107.0203871,30.19394875
1_2_156_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01877016418992,30.190714815981497]}",107.0187702,30.19071482
1_2_157_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0230820775537,30.196643696856686]}",107.0230821,30.1966437
1_2_158_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94223370198294,30.115256332115457]}",106.9422337,30.11525633
1_2_159_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12495103077285,30.266173299847537]}",107.124951,30.2661733
1_2_160_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1276459766252,30.32761806528131]}",107.127646,30.32761807
1_2_161_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06404525450955,30.24245777634678]}",107.0640453,30.24245778
1_2_162_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11578821487483,30.265634310677065]}",107.1157882,30.26563431
1_2_163_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.99559362985964,30.187480880958667]}",106.9955936,30.18748088
1_2_164_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95463045290379,30.108788462069796]}",106.9546305,30.10878846
1_2_165_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13141890081852,30.306597487632914]}",107.1314189,30.30659749
1_2_166_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0629672761686,30.208501458607063]}",107.0629673,30.20850146
1_2_167_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98104092225691,30.162687379116967]}",106.9810409,30.16268738
1_2_168_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12710698745474,30.274797126575084]}",107.127107,30.27479713
1_2_169_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1260290091138,30.290966801689233]}",107.126029,30.2909668
1_2_170_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11686619321577,30.2801870182798]}",107.1168662,30.28018702
1_2_171_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93414886442586,30.142205790639043]}",106.9341489,30.14220579
1_2_172_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.05110951441823,30.23976283049442]}",107.0511095,30.23976283
1_2_173_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95732539875615,30.115256332115457]}",106.9573254,30.11525633
1_2_174_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12549001994333,30.306597487632914]}",107.12549,30.30659749
1_2_175_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12495103077285,30.212274382800363]}",107.124951,30.21227438
1_2_176_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0209261208718,30.189636837640553]}",107.0209261,30.18963684
1_2_177_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.05057052524775,30.21820326367555]}",107.0505705,30.21820326
1_2_178_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0899167346922,30.19179279432244]}",107.0899167,30.19179279
1_2_179_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06188929782766,30.202033588561402]}",107.0618893,30.20203359
1_2_180_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.04302467686115,30.26725127818848]}",107.0430247,30.26725128
1_2_181_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08614381049888,30.268329256529423]}",107.0861438,30.26832926
1_2_182_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91151131926605,30.156219509071306]}",106.9115113,30.15621951
1_2_183_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95732539875615,30.110944418751682]}",106.9573254,30.11094442
1_2_184_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13195788998898,30.244613733028668]}",107.1319579,30.24461373
1_2_185_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11686619321577,30.266712289018006]}",107.1168662,30.26671229
1_2_186_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96810518216559,30.095852721978474]}",106.9681052,30.09585272
1_2_187_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01769218584899,30.18801987012914]}",107.0176922,30.18801987
1_2_188_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11093731234058,30.1982606643681]}",107.1109373,30.19826066
1_2_189_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.09584561556738,30.228444057914515]}",107.0958456,30.22844406
1_2_190_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11956113906814,30.2478476680515]}",107.1195611,30.24784767
1_2_191_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.06027233031624,30.20472853441376]}",107.0602723,30.20472853
1_2_192_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01391926165567,30.18586391344725]}",107.0139193,30.18586391
1_2_193_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.05757738446388,30.193948751004328]}",107.0575774,30.19394875
